,chaos_value,type,type_line,price,shoplink_template,stack_size,datetime
31,14.752825,Currency,Orb of Transmutation,0.049840625,"[linkItem location=""Stash1"" league=""Ultimatum"" x=""8"" y=""0""] ~b/o {final_price} {fx_id}",296,2021-05-21 11:54:19.243340
32,32.40333368421053,Hard Currency,Orb of Alteration,0.3447163157894737,"[linkItem location=""Stash1"" league=""Ultimatum"" x=""9"" y=""0""] ~b/o {final_price} {fx_id}",94,2021-05-21 11:54:19.243340
33,400.0,Hard Currency,Awakened Sextant,5.0,"[linkItem location=""Stash1"" league=""Ultimatum"" x=""38"" y=""0""] ~b/o {final_price} {fx_id}",80,2021-05-21 11:54:19.243340
34,17.66649,Hard Currency,Regal Orb,0.33333,"[linkItem location=""Stash1"" league=""Ultimatum"" x=""12"" y=""0""] ~b/o {final_price} {fx_id}",53,2021-05-21 11:54:19.243340
35,138.25130142857142,Hard Currency,Prime Sextant,1.9472014285714285,"[linkItem location=""Stash1"" league=""Ultimatum"" x=""37"" y=""0""] ~b/o {final_price} {fx_id}",71,2021-05-21 11:54:19.243340
36,45.645337647058824,Currency,Chromatic Orb,0.16658882352941176,"[linkItem location=""Stash1"" league=""Ultimatum"" x=""17"" y=""0""] ~b/o {final_price} {fx_id}",274,2021-05-21 11:54:19.243340
37,5.65,Currency,Portal Scroll,0.05,"[linkItem location=""Stash1"" league=""Ultimatum"" x=""14"" y=""0""] ~b/o {final_price} {fx_id}",113,2021-05-21 11:54:19.243340
38,1.0,Prophecy,Hidden Reinforcements,1.0,"[linkItem location=""Stash1"" league=""Ultimatum"" x=""42"" y=""0""] ~b/o {final_price} {fx_id}",1,2021-05-21 11:54:19.243340
39,2.7772553846153847,Currency,Blacksmith's Whetstone,0.049593846153846155,"[linkItem location=""Stash1"" league=""Ultimatum"" x=""0"" y=""0""] ~b/o {final_price} {fx_id}",56,2021-05-21 11:54:19.243340
40,28.188003333333334,Currency,Orb of Chance,0.09063666666666667,"[linkItem location=""Stash1"" league=""Ultimatum"" x=""6"" y=""0""] ~b/o {final_price} {fx_id}",311,2021-05-21 11:54:19.243340
41,7.814958947368421,Currency,Orb of Annulment,2.6049863157894735,"[linkItem location=""Stash1"" league=""Ultimatum"" x=""54"" y=""0""] ~b/o {final_price} {fx_id}",3,2021-05-21 11:54:19.243340
42,127.49997176470588,Currency,Orb of Regret,0.2701270588235294,"[linkItem location=""Stash1"" league=""Ultimatum"" x=""7"" y=""0""] ~b/o {final_price} {fx_id}",472,2021-05-21 11:54:19.243340
43,300.12840000000006,Currency,Orb of Scouring,0.5247,"[linkItem location=""Stash1"" league=""Ultimatum"" x=""10"" y=""0""] ~b/o {final_price} {fx_id}",572,2021-05-21 11:54:19.243340
