,value,type,type_line,datetime
111,1.0,DivinationCard,Turn the Other Cheek,2020-04-18 19:54:37.152957
112,1.0,DivinationCard,The Stormcaller,2020-04-18 19:54:37.152957
113,1.0,DivinationCard,Thunderous Skies,2020-04-18 19:54:37.152957
114,2.0,DivinationCard,The Beast,2020-04-18 19:54:37.152957
115,1.0,DivinationCard,The Journey,2020-04-18 19:54:37.152957
116,40.0,DivinationCard,Loyalty,2020-04-18 19:54:37.152957
117,4.0,DivinationCard,The Professor,2020-04-18 19:54:37.152957
118,1.0,DivinationCard,Volatile Power,2020-04-18 19:54:37.152957
119,1.0,DivinationCard,The Master Artisan,2020-04-18 19:54:37.152957
120,1.0,DivinationCard,The Inventor,2020-04-18 19:54:37.152957
121,6.0,DivinationCard,The Opulent,2020-04-18 19:54:37.152957
122,5.0,DivinationCard,The Carrion Crow,2020-04-18 19:54:37.152957
123,2.0,DivinationCard,Dark Temptation,2020-04-18 19:54:37.152957
124,6.0,DivinationCard,Lucky Connections,2020-04-18 19:54:37.152957
125,1.0,DivinationCard,The Sword King's Salute,2020-04-18 19:54:37.152957
126,1.0,DivinationCard,The Incantation,2020-04-18 19:54:37.152957
127,1.0,DivinationCard,The Sigil,2020-04-18 19:54:37.152957
128,1.0,DivinationCard,Akil's Prophecy,2020-04-18 19:54:37.152957
129,1.0,DivinationCard,The Messenger,2020-04-18 19:54:37.152957
130,2.0,DivinationCard,The Lunaris Priestess,2020-04-18 19:54:37.152957
131,2.0,DivinationCard,Doedre's Madness,2020-04-18 19:54:37.152957
132,29.04,DivinationCard,Three Voices,2020-04-18 19:54:37.152957
133,1.0,DivinationCard,The Twilight Moon,2020-04-18 19:54:37.152957
134,2.74,DivinationCard,Boon of Justice,2020-04-18 19:54:37.152957
135,1.0,DivinationCard,The Fox,2020-04-18 19:54:37.152957
136,16.0,DivinationCard,The Gambler,2020-04-18 19:54:37.152957
137,2.0,DivinationCard,The Realm,2020-04-18 19:54:37.152957
138,1.0,DivinationCard,Jack in the Box,2020-04-18 19:54:37.152957
139,2.0,DivinationCard,The Void,2020-04-18 19:54:37.152957
140,1.62,DivinationCard,Struck by Lightning,2020-04-18 19:54:37.152957
141,48.0,Fragment,Fragment of Eradication,2020-04-18 19:54:37.152957
142,1.5,Fragment,Sacrifice at Midnight,2020-04-18 19:54:37.152957
143,18.140806894736848,Fragment,Timeless Karui Splinter,2020-04-18 19:54:37.152957
144,3.0,Scarab,Polished Perandus Scarab,2020-04-18 19:54:37.152957
145,0.9600181395348837,Fragment,Sacrifice at Noon,2020-04-18 19:54:37.152957
146,8.66671,Currency,Splinter of Chayula,2020-04-18 19:54:37.152957
147,3.2082050000000004,Currency,Splinter of Esh,2020-04-18 19:54:37.152957
148,12.6,Fragment,Timeless Maraketh Splinter,2020-04-18 19:54:37.152957
149,5.04,Scarab,Rusted Reliquary Scarab,2020-04-18 19:54:37.152957
150,2.28568,Currency,Splinter of Uul-Netol,2020-04-18 19:54:37.152957
151,3.66663,Fragment,Sacrifice at Dawn,2020-04-18 19:54:37.152957
152,3.3343749999999996,Currency,Splinter of Xoph,2020-04-18 19:54:37.152957
153,2.57139,Fragment,Sacrifice at Dusk,2020-04-18 19:54:37.152957
154,2.0,Scarab,Rusted Metamorph Scarab,2020-04-18 19:54:37.152957
155,2.0,Scarab,Polished Metamorph Scarab,2020-04-18 19:54:37.152957
156,0.0,Scarab,Polished Torment Scarab,2020-04-18 19:54:37.152957
157,2.0,Scarab,Polished Harbinger Scarab,2020-04-18 19:54:37.152957
158,18.899892,Fragment,Timeless Eternal Empire Splinter,2020-04-18 19:54:37.152957
159,1.0,Scarab,Rusted Harbinger Scarab,2020-04-18 19:54:37.152957
160,3.0,Scarab,Rusted Elder Scarab,2020-04-18 19:54:37.152957
161,2.91,Scarab,Rusted Torment Scarab,2020-04-18 19:54:37.152957
162,2.0,Scarab,Rusted Shaper Scarab,2020-04-18 19:54:37.152957
163,3.0,Scarab,Rusted Ambush Scarab,2020-04-18 19:54:37.152957
164,10.843074000000001,Currency,Splinter of Tul,2020-04-18 19:54:37.152957
165,3.6231636363636364,Fragment,Offering to the Goddess,2020-04-18 19:54:37.152957
166,6.0,Scarab,Polished Legion Scarab,2020-04-18 19:54:37.152957
167,1.0,Fragment,Timeless Templar Splinter,2020-04-18 19:54:37.152957
168,2.0,Scarab,Rusted Breach Scarab,2020-04-18 19:54:37.152957
169,4.0,Scarab,Rusted Divination Scarab,2020-04-18 19:54:37.152957
170,3.0,Scarab,Rusted Cartography Scarab,2020-04-18 19:54:37.152957
171,2.0,Fragment,Divine Vessel,2020-04-18 19:54:37.152957
172,18.317058064516132,Fragment,Timeless Vaal Splinter,2020-04-18 19:54:37.152957
173,3.98,Scarab,Rusted Perandus Scarab,2020-04-18 19:54:37.152957
174,2.0,Essence,Weeping Essence of Anger,2020-04-18 19:54:37.152957
175,4.0,Essence,Weeping Essence of Sorrow,2020-04-18 19:54:37.152957
176,3.0,Essence,Shrieking Essence of Zeal,2020-04-18 19:54:37.152957
177,2.0,Essence,Shrieking Essence of Dread,2020-04-18 19:54:37.152957
178,6.0,Essence,Wailing Essence of Fear,2020-04-18 19:54:37.152957
179,4.0,Essence,Screaming Essence of Torment,2020-04-18 19:54:37.152957
180,2.0,Essence,Screaming Essence of Scorn,2020-04-18 19:54:37.152957
181,1.0,Essence,Screaming Essence of Dread,2020-04-18 19:54:37.152957
182,3.0,Essence,Screaming Essence of Wrath,2020-04-18 19:54:37.152957
183,3.0,Essence,Weeping Essence of Woe,2020-04-18 19:54:37.152957
184,3.0,Essence,Screaming Essence of Anguish,2020-04-18 19:54:37.152957
185,2.0,Essence,Screaming Essence of Doubt,2020-04-18 19:54:37.152957
186,2.0,Essence,Wailing Essence of Hatred,2020-04-18 19:54:37.152957
187,2.0,Essence,Weeping Essence of Torment,2020-04-18 19:54:37.152957
188,4.0,Essence,Wailing Essence of Woe,2020-04-18 19:54:37.152957
189,4.0,Essence,Wailing Essence of Zeal,2020-04-18 19:54:37.152957
190,4.0,Essence,Wailing Essence of Torment,2020-04-18 19:54:37.152957
191,4.0,Essence,Wailing Essence of Suffering,2020-04-18 19:54:37.152957
192,2.0,Essence,Wailing Essence of Spite,2020-04-18 19:54:37.152957
193,1.0,Essence,Whispering Essence of Greed,2020-04-18 19:54:37.152957
194,2.0,Essence,Screaming Essence of Suffering,2020-04-18 19:54:37.152957
195,1.0,Essence,Screaming Essence of Loathing,2020-04-18 19:54:37.152957
196,3.0,Essence,Wailing Essence of Wrath,2020-04-18 19:54:37.152957
197,2.0,Essence,Wailing Essence of Loathing,2020-04-18 19:54:37.152957
198,1.0,Essence,Muttering Essence of Contempt,2020-04-18 19:54:37.152957
199,3.0,Essence,Weeping Essence of Hatred,2020-04-18 19:54:37.152957
200,5.0,Essence,Screaming Essence of Spite,2020-04-18 19:54:37.152957
201,3.0,Essence,Screaming Essence of Rage,2020-04-18 19:54:37.152957
202,3.0,Essence,Weeping Essence of Rage,2020-04-18 19:54:37.152957
203,1.0,Essence,Wailing Essence of Sorrow,2020-04-18 19:54:37.152957
204,4.0,Essence,Screaming Essence of Contempt,2020-04-18 19:54:37.152957
205,3.0,Essence,Weeping Essence of Contempt,2020-04-18 19:54:37.152957
206,4.0,Essence,Screaming Essence of Woe,2020-04-18 19:54:37.152957
207,3.0,Essence,Wailing Essence of Doubt,2020-04-18 19:54:37.152957
208,2.0,Essence,Whispering Essence of Contempt,2020-04-18 19:54:37.152957
209,3.0,Essence,Screaming Essence of Fear,2020-04-18 19:54:37.152957
210,0.0,Oil,Verdant Oil,2020-04-18 19:54:37.152957
211,6.0,Oil,Clear Oil,2020-04-18 19:54:37.152957
212,0.0,Oil,Sepia Oil,2020-04-18 19:54:37.152957
213,2.0,Essence,Muttering Essence of Anger,2020-04-18 19:54:37.152957
214,3.0,Essence,Wailing Essence of Anguish,2020-04-18 19:54:37.152957
215,5.0,Essence,Wailing Essence of Contempt,2020-04-18 19:54:37.152957
