,value,type,type_line,datetime
414,1.0,Incubator,Celestial Jeweller's Incubator,2020-04-18 19:54:37.152957
415,1.0,Incubator,Infused Incubator,2020-04-18 19:54:37.152957
416,0.0,Currency,Orb of Regret,2020-04-18 19:54:37.152957
417,0.0,,Coral Amulet,2020-04-18 19:54:37.152957
418,2.0,DeliriumOrb,Decadent Delirium Orb,2020-04-18 19:54:37.152957
419,2.0,Incubator,Cartographer's Incubator,2020-04-18 19:54:37.152957
420,1.0,UniqueArmour,Great Crown,2020-04-18 19:54:37.152957
421,0.0,,Heavy Belt,2020-04-18 19:54:37.152957
422,0.0,,Two-Stone Ring,2020-04-18 19:54:37.152957
423,1.0,Incubator,Enchanted Incubator,2020-04-18 19:54:37.152957
424,2.0,Incubator,Ornate Incubator,2020-04-18 19:54:37.152957
425,0.0,,Superior Topaz Flask,2020-04-18 19:54:37.152957
426,0.0,,Stygian Vise,2020-04-18 19:54:37.152957
427,1.5,Oil,Teal Oil,2020-04-18 19:54:37.152957
428,1.0,UniqueJewel,Cobalt Jewel,2020-04-18 19:54:37.152957
429,0.33334,Currency,Orb of Augmentation,2020-04-18 19:54:37.152957
430,2.00001,Currency,Splinter of Chayula,2020-04-18 19:54:37.152957
431,0.0,Prophecy,Risen Blood,2020-04-18 19:54:37.152957
432,0.0,,Blackguard Tempest's Heart,2020-04-18 19:54:37.152957
433,6.0,Fossil,Shuddering Fossil,2020-04-18 19:54:37.152957
434,5.0,Oil,Sepia Oil,2020-04-18 19:54:37.152957
435,1.0,Incubator,Mysterious Incubator,2020-04-18 19:54:37.152957
436,5.0,Fossil,Bound Fossil,2020-04-18 19:54:37.152957
437,5.0,Oil,Clear Oil,2020-04-18 19:54:37.152957
438,0.0,,Ancient Shard,2020-04-18 19:54:37.152957
439,1.0,Incubator,Singular Incubator,2020-04-18 19:54:37.152957
440,0.0,,Moonstone Ring,2020-04-18 19:54:37.152957
441,2.0,Incubator,Skittering Incubator,2020-04-18 19:54:37.152957
442,0.0,,Vaal Spark,2020-04-18 19:54:37.152957
443,2.0,Incubator,Cartographer's Incubator,2020-04-18 19:54:37.152957
444,1.0,Incubator,Singular Incubator,2020-04-18 19:54:37.152957
445,2.0,Incubator,Ornate Incubator,2020-04-18 19:54:37.152957
446,1.0,Incubator,Fossilised Incubator,2020-04-18 19:54:37.152957
447,3.0,Oil,Sepia Oil,2020-04-18 19:54:37.152957
448,1.0,Oil,Violet Oil,2020-04-18 19:54:37.152957
449,3.8999699999999997,Fragment,Simulacrum Splinter,2020-04-18 19:54:37.152957
450,0.0,,Medium Cluster Jewel of Potential,2020-04-18 19:54:37.152957
451,2.0,Fossil,Prismatic Fossil,2020-04-18 19:54:37.152957
452,1.0,Incubator,Fossilised Incubator,2020-04-18 19:54:37.152957
453,2.0,Oil,Black Oil,2020-04-18 19:54:37.152957
454,1.0,Resonator,Primitive Alchemical Resonator,2020-04-18 19:54:37.152957
455,0.0,,Empower Support,2020-04-18 19:54:37.152957
456,1.0,Incubator,Abyssal Incubator,2020-04-18 19:54:37.152957
457,2.0,Incubator,Foreboding Incubator,2020-04-18 19:54:37.152957
458,4.86,Fossil,Jagged Fossil,2020-04-18 19:54:37.152957
459,1.0,Incubator,Enchanted Incubator,2020-04-18 19:54:37.152957
460,1.0,Incubator,Primal Incubator,2020-04-18 19:54:37.152957
461,1.0,Incubator,Enchanted Incubator,2020-04-18 19:54:37.152957
462,0.0,Currency,Glassblower's Bauble,2020-04-18 19:54:37.152957
463,3.5,Oil,Clear Oil,2020-04-18 19:54:37.152957
464,2.0,Oil,Verdant Oil,2020-04-18 19:54:37.152957
465,0.0,Currency,Cartographer's Chisel,2020-04-18 19:54:37.152957
466,1.0,UniqueWeapon,Shadow Sceptre,2020-04-18 19:54:37.152957
467,0.18182,Currency,Blacksmith's Whetstone,2020-04-18 19:54:37.152957
468,0.0,,Sallazzang's Liver,2020-04-18 19:54:37.152957
469,1.0,Incubator,Decadent Incubator,2020-04-18 19:54:37.152957
470,0.0,Currency,Armourer's Scrap,2020-04-18 19:54:37.152957
471,1.0,Incubator,Abyssal Incubator,2020-04-18 19:54:37.152957
472,1.0,UniqueJewel,Cobalt Jewel,2020-04-18 19:54:37.152957
473,1.23,Fossil,Metallic Fossil,2020-04-18 19:54:37.152957
474,1.0,Incubator,Primal Incubator,2020-04-18 19:54:37.152957
475,0.0,,Essence Drain,2020-04-18 19:54:37.152957
476,0.0,,Large Cluster Jewel,2020-04-18 19:54:37.152957
477,2.0,Incubator,Cartographer's Incubator,2020-04-18 19:54:37.152957
478,0.0,,Chaos Orb,2020-04-18 19:54:37.152957
479,0.0,,Orb of Transmutation,2020-04-18 19:54:37.152957
480,0.0,UniqueAccessory,Agate Amulet,2020-04-18 19:54:37.152957
481,0.22346,Currency,Chromatic Orb,2020-04-18 19:54:37.152957
482,5.0,Oil,Verdant Oil,2020-04-18 19:54:37.152957
483,0.49232534246575343,Currency,Imbued Catalyst,2020-04-18 19:54:37.152957
484,0.0,,Fingerless Silk Gloves,2020-04-18 19:54:37.152957
485,0.0,,Large Cluster Jewel,2020-04-18 19:54:37.152957
486,4.0,Incubator,Diviner's Incubator,2020-04-18 19:54:37.152957
487,3.0,Fossil,Serrated Fossil,2020-04-18 19:54:37.152957
488,0.0,,Vaal Earthquake,2020-04-18 19:54:37.152957
489,4.5,Oil,Amber Oil,2020-04-18 19:54:37.152957
490,3.15,Fossil,Frigid Fossil,2020-04-18 19:54:37.152957
491,3.0,DeliriumOrb,Singular Delirium Orb,2020-04-18 19:54:37.152957
492,2.0,Incubator,Ornate Incubator,2020-04-18 19:54:37.152957
493,0.3144983333333333,Currency,Jeweller's Orb,2020-04-18 19:54:37.152957
494,1.0,Currency,Awakened Sextant,2020-04-18 19:54:37.152957
495,2.0,Incubator,Obscured Incubator,2020-04-18 19:54:37.152957
496,1.0,Incubator,Enchanted Incubator,2020-04-18 19:54:37.152957
497,1.0,UniqueArmour,Mind Cage,2020-04-18 19:54:37.152957
498,1.0,Incubator,Abyssal Incubator,2020-04-18 19:54:37.152957
499,0.0,Currency,Orb of Alteration,2020-04-18 19:54:37.152957
500,1.3447079999999998,Currency,Intrinsic Catalyst,2020-04-18 19:54:37.152957
501,2.5,Fossil,Aberrant Fossil,2020-04-18 19:54:37.152957
502,0.0,,Portal Scroll,2020-04-18 19:54:37.152957
503,1.0,Incubator,Fragmented Incubator,2020-04-18 19:54:37.152957
504,0.0,,Gladiator Helmet,2020-04-18 19:54:37.152957
505,0.0,,Hubris Circlet,2020-04-18 19:54:37.152957
506,0.0,UniqueWeapon,Royal Staff,2020-04-18 19:54:37.152957
507,0.0,,Cerulean Ring,2020-04-18 19:54:37.152957
508,0.0,,Medium Cluster Jewel,2020-04-18 19:54:37.152957
509,0.0,,Occultist's Vestment,2020-04-18 19:54:37.152957
510,2.0,UniqueWeapon,Royal Skean,2020-04-18 19:54:37.152957
511,0.0,,Small Cluster Jewel,2020-04-18 19:54:37.152957
512,2.0,UniqueArmour,Leather Cap,2020-04-18 19:54:37.152957
513,0.0,,Superior Blighted Promenade Map,2020-04-18 19:54:37.152957
514,0.0,UniqueWeapon,Spiraled Wand,2020-04-18 19:54:37.152957
515,0.0,UniqueWeapon,Woodsplitter,2020-04-18 19:54:37.152957
516,1.0,UniqueJewel,Crimson Jewel,2020-04-18 19:54:37.152957
517,0.0,UniqueArmour,Fire Arrow Quiver,2020-04-18 19:54:37.152957
518,0.0,,Shagreen Gloves,2020-04-18 19:54:37.152957
519,0.0,,Vermillion Ring,2020-04-18 19:54:37.152957
520,0.0,,Studded Belt,2020-04-18 19:54:37.152957
521,0.0,,Increased Duration Support,2020-04-18 19:54:37.152957
522,0.0,,Superior Necromancer Circlet,2020-04-18 19:54:37.152957
523,0.0,,Soldier Gloves,2020-04-18 19:54:37.152957
524,1.0,UniqueJewel,Viridian Jewel,2020-04-18 19:54:37.152957
525,0.0,,Soldier Gloves,2020-04-18 19:54:37.152957
526,0.0,,Mind Cage,2020-04-18 19:54:37.152957
527,0.0,,Large Cluster Jewel,2020-04-18 19:54:37.152957
528,0.0,,Murderous Eye Jewel,2020-04-18 19:54:37.152957
529,0.0,,Purity of Elements,2020-04-18 19:54:37.152957
530,0.0,,Two-Toned Boots,2020-04-18 19:54:37.152957
531,0.0,,Clarity,2020-04-18 19:54:37.152957
532,0.0,,Large Cluster Jewel,2020-04-18 19:54:37.152957
533,0.0,,Stygian Vise,2020-04-18 19:54:37.152957
534,1.0,UniqueJewel,Viridian Jewel,2020-04-18 19:54:37.152957
535,0.0,UniqueWeapon,Crude Bow,2020-04-18 19:54:37.152957
536,1.0,Essence,Screaming Essence of Anger,2020-04-18 19:54:37.152957
537,0.0,,Samite Slippers,2020-04-18 19:54:37.152957
538,0.0,,Eelskin Boots,2020-04-18 19:54:37.152957
539,0.0,,Shagreen Gloves,2020-04-18 19:54:37.152957
540,0.0,,Solaris Circlet,2020-04-18 19:54:37.152957
541,1.0,UniqueWeapon,Tornado Wand,2020-04-18 19:54:37.152957
542,0.0,,Paua Amulet,2020-04-18 19:54:37.152957
543,0.0,,Two-Stone Ring,2020-04-18 19:54:37.152957
544,0.0,Map,Mesa Map,2020-04-18 19:54:37.152957
545,1.0,Map,Overgrown Ruin Map,2020-04-18 19:54:37.152957
546,0.0,Map,Arena Map,2020-04-18 19:54:37.152957
547,0.0,Map,Fields Map,2020-04-18 19:54:37.152957
548,0.0,Map,Courtyard Map,2020-04-18 19:54:37.152957
549,0.0,Map,Underground Sea Map,2020-04-18 19:54:37.152957
550,1.0,Map,Bazaar Map,2020-04-18 19:54:37.152957
551,0.0,Map,Academy Map,2020-04-18 19:54:37.152957
552,1.0,Map,Overgrown Ruin Map,2020-04-18 19:54:37.152957
553,25.0,UniqueWeapon,Prophecy Wand,2020-04-18 19:54:37.152957
554,1.0,Map,Geode Map,2020-04-18 19:54:37.152957
555,0.0,Map,Cursed Crypt Map,2020-04-18 19:54:37.152957
556,1.0,Map,Cage Map,2020-04-18 19:54:37.152957
557,1.0,Map,Cage Map,2020-04-18 19:54:37.152957
558,1.0,Map,Geode Map,2020-04-18 19:54:37.152957
559,0.0,Map,Fungal Hollow Map,2020-04-18 19:54:37.152957
560,0.0,UniqueWeapon,Shadow Sceptre,2020-04-18 19:54:37.152957
561,0.0,Map,Academy Map,2020-04-18 19:54:37.152957
562,0.0,Map,Museum Map,2020-04-18 19:54:37.152957
563,1.0,Map,Ashen Wood Map,2020-04-18 19:54:37.152957
564,0.0,Map,Barrows Map,2020-04-18 19:54:37.152957
565,1.0,Map,Strand Map,2020-04-18 19:54:37.152957
566,0.0,Map,Museum Map,2020-04-18 19:54:37.152957
567,0.0,Map,Arena Map,2020-04-18 19:54:37.152957
568,0.0,UniqueAccessory,Gold Amulet,2020-04-18 19:54:37.152957
569,0.0,Map,Graveyard Map,2020-04-18 19:54:37.152957
570,1.0,Map,Strand Map,2020-04-18 19:54:37.152957
571,1.0,Map,Arsenal Map,2020-04-18 19:54:37.152957
572,0.0,UniqueArmour,Fire Arrow Quiver,2020-04-18 19:54:37.152957
573,0.0,Map,Desert Map,2020-04-18 19:54:37.152957
574,0.0,,Superior Arena Map,2020-04-18 19:54:37.152957
575,0.0,Map,Lookout Map,2020-04-18 19:54:37.152957
576,0.0,,Unstoppable Alleyways Map,2020-04-18 19:54:37.152957
577,0.0,Map,Underground Sea Map,2020-04-18 19:54:37.152957
578,0.0,,Avatar of Undoing's Liver,2020-04-18 19:54:37.152957
579,0.0,Map,Courtyard Map,2020-04-18 19:54:37.152957
580,0.0,,"Puruna, the Challenger's Eye",2020-04-18 19:54:37.152957
581,0.0,Map,Courtyard Map,2020-04-18 19:54:37.152957
582,0.0,Map,Mesa Map,2020-04-18 19:54:37.152957
583,0.0,,Superior Bog Map,2020-04-18 19:54:37.152957
584,0.0,,"Portentia, the Foul's Heart",2020-04-18 19:54:37.152957
585,0.0,,Superior Relic Chambers Map,2020-04-18 19:54:37.152957
586,0.0,Map,Graveyard Map,2020-04-18 19:54:37.152957
587,0.0,,Resistant Barrows Map of Smothering,2020-04-18 19:54:37.152957
588,0.0,Map,Bog Map,2020-04-18 19:54:37.152957
589,0.0,Map,Haunted Mansion Map,2020-04-18 19:54:37.152957
590,0.0,Map,Peninsula Map,2020-04-18 19:54:37.152957
591,1.0,Map,Coves Map,2020-04-18 19:54:37.152957
592,0.0,Map,Crystal Ore Map,2020-04-18 19:54:37.152957
593,0.0,Map,Courtyard Map,2020-04-18 19:54:37.152957
594,0.0,,Cobalt Jewel,2020-04-18 19:54:37.152957
595,0.0,,Crimson Jewel,2020-04-18 19:54:37.152957
596,1.0,UniqueAccessory,Turquoise Amulet,2020-04-18 19:54:37.152957
597,0.0,,Mind Cage,2020-04-18 19:54:37.152957
598,0.0,,Ghastly Eye Jewel,2020-04-18 19:54:37.152957
599,0.0,,Dragonbone Rapier,2020-04-18 19:54:37.152957
600,0.0,,Viridian Jewel,2020-04-18 19:54:37.152957
601,0.0,,Onyx Amulet,2020-04-18 19:54:37.152957
602,0.0,UniqueWeapon,Ornate Sword,2020-04-18 19:54:37.152957
603,1.0,UniqueAccessory,Diamond Ring,2020-04-18 19:54:37.152957
604,0.0,,Crimson Jewel,2020-04-18 19:54:37.152957
605,0.0,UniqueArmour,Strapped Leather,2020-04-18 19:54:37.152957
606,0.0,,Dragonscale Gauntlets,2020-04-18 19:54:37.152957
607,8.0,UniqueArmour,Synthesised Ezomyte Spiked Shield,2020-04-18 19:54:37.152957
608,1.0,UniqueAccessory,Unset Ring,2020-04-18 19:54:37.152957
609,0.0,,Hubris Circlet,2020-04-18 19:54:37.152957
610,0.0,UniqueFlask,Quartz Flask,2020-04-18 19:54:37.152957
611,1.0,UniqueJewel,Crimson Jewel,2020-04-18 19:54:37.152957
612,1.0,Prophecy,The Dreamer's Dream,2020-04-18 19:54:37.152957
613,1.0,UniqueAccessory,Paua Amulet,2020-04-18 19:54:37.152957
614,1.0,Prophecy,Plague of Frogs,2020-04-18 19:54:37.152957
615,0.0,UniqueArmour,Scholar Boots,2020-04-18 19:54:37.152957
616,1.0,UniqueArmour,Mind Cage,2020-04-18 19:54:37.152957
617,1.0,UniqueAccessory,Chain Belt,2020-04-18 19:54:37.152957
618,2.0,UniqueFlask,Stibnite Flask,2020-04-18 19:54:37.152957
619,1.0,UniqueJewel,Cobalt Jewel,2020-04-18 19:54:37.152957
620,0.0,UniqueArmour,Tarnished Spirit Shield,2020-04-18 19:54:37.152957
621,1.0,UniqueArmour,Polished Spiked Shield,2020-04-18 19:54:37.152957
622,1.0,UniqueJewel,Viridian Jewel,2020-04-18 19:54:37.152957
623,1.0,UniqueWeapon,Imperial Skean,2020-04-18 19:54:37.152957
624,0.0,UniqueWeapon,Crystal Wand,2020-04-18 19:54:37.152957
625,1.0,UniqueArmour,Ancient Greaves,2020-04-18 19:54:37.152957
626,1.0,UniqueJewel,Cobalt Jewel,2020-04-18 19:54:37.152957
627,1.0,UniqueWeapon,Imperial Skean,2020-04-18 19:54:37.152957
